,URL,MaxPossibleScrapedReviews,RestaurantReviewActual,RatedExcellent,RatedVery_good,RatedAverage,RatedPoor,RatedTerrible
132,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d8773510-Reviews-The_Bastion_Bar_Restaurant-Liverpool_Merseyside_England.html,912,915,661,99,57,34,54
133,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19170337-Reviews-Fogo_Brazil_bar_grill-Liverpool_Merseyside_England.html,525,524,428,24,12,4,6
134,https://www.tripadvisor.co.uk/Restaurant_Review-g3767364-d20252373-Reviews-Elixir_Oxton-Prenton_Wirral_Merseyside_England.html,112,112,96,3,5,5,3
135,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d795805-r736313039-MEET_Argentinian_Restaurant-Liverpool_Merseyside_England.html,0,100,,,,,
136,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d2485452-Reviews-Shiraz_BBQ-Liverpool_Merseyside_England.html,0,200,"1,485",307,58,16,34
137,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19579647-Reviews-China_Dina-Liverpool_Merseyside_England.html,136,136,110,14,7,3,2
138,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d2693528-r824456071-Liverpool_One_Bridewell_Bar_And_Restaurant-Liverpool_Merseyside_England.html,342,175,,,,,
139,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d5244456-Reviews-Casa_Italia-Liverpool_Merseyside_England.html,0,200,"1,621",370,159,70,101
140,https://www.tripadvisor.co.uk/Restaurant_Review-g2139048-d1599554-Reviews-Cowshed_Restaurant-Raby_Wirral_Merseyside_England.html,412,412,230,107,35,29,11
141,https://www.tripadvisor.co.uk/ShowUserReviews-g2549600-d3171365-r727574040-Sunlight_Restaurant_Bar-Bebington_Wirral_Merseyside_England.html,421,215,,,,,
142,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d15606293-Reviews-Kassap_Meat_House-Liverpool_Merseyside_England.html,549,541,412,32,26,18,23
143,https://www.tripadvisor.co.uk/Restaurant_Review-g1096784-d4240860-Reviews-Pesto_at_The_Dibbinsdale_inn-Bromborough_Wirral_Merseyside_England.html,427,426,263,102,33,16,12
144,https://www.tripadvisor.co.uk/RegistrationController?flow=sign_up_and_save&returnTo=%2FRestaurantSearch-g2549600-oa30-a_geobroaden.true-Bebington_Wirral_Merseyside_England.html&fullscreen=true&flowOrigin=login&hideNavigation=true&isLithium=true,0,0,,,,,
145,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d4794641-Reviews-Alam_Balti-Bebington_Wirral_Merseyside_England.html,82,82,49,13,3,7,10
146,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19235075-Reviews-The_Bridewell-Liverpool_Merseyside_England.html,70,70,67,3,0,0,0
147,https://www.tripadvisor.co.uk/ShowUserReviews-g186337-d5500837-r795693344-The_Smugglers_Cove_Liverpool_Bar_Restaurant-Liverpool_Merseyside_England.html,0,100,,,,,
148,https://www.tripadvisor.co.uk/Restaurant_Review-g2549600-d13120965-Reviews-La_Luce_Del_Sole-Bebington_Wirral_Merseyside_England.html,66,66,55,5,1,3,2
149,https://www.tripadvisor.co.uk/Restaurant_Review-g1076967-d10522852-Reviews-Blooming_Skull_Coffee-Port_Sunlight_Wirral_Merseyside_England.html,69,69,58,7,1,1,2
150,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d13827597-Reviews-Pippin_s_Corner-Liverpool_Merseyside_England.html,680,678,615,36,10,9,8
151,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d19409648-Reviews-Christakis-Liverpool_Merseyside_England.html,498,499,448,13,14,6,8
152,https://www.tripadvisor.co.uk/RestaurantSearch-g2549600-oa120-a_geobroaden.true-Bebington_Wirral_Merseyside_England.html,0,0,,,,,
153,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d775203-Reviews-Sultan_s_Palace-Liverpool_Merseyside_England.html,536,534,319,99,44,27,35
154,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d12949585-Reviews-Yukti_Indian_Street_Fusion-Liverpool_Merseyside_England.html,580,571,458,66,8,7,12
155,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d23584244-Reviews-Rudy_s_Neapolitan_Pizza_Bold_Street-Liverpool_Merseyside_England.html,201,207,169,17,6,2,3
156,https://www.tripadvisor.co.uk/ShowUserReviews-g1076968-d15611195-r837562297-Poseidon_Restaurant-Wallasey_Wirral_Merseyside_England.html,227,115,,,,,
157,https://www.tripadvisor.co.uk/Restaurant_Review-g186337-d11813078-Reviews-Cosy_Club-Liverpool_Merseyside_England.html,832,834,432,202,92,50,38
